,connLabel,predLabel,confi,sample,pre_conn_conv1_fm0_mean,pre_conn_conv1_fm1_mean,pre_conn_conv1_fm2_mean,pre_conn_conv1_fm3_mean,pre_conn_conv2_fm0_mean,pre_conn_conv2_fm1_mean,post_conn_conv1_fm0_mean,post_conn_conv1_fm1_mean,post_conn_conv1_fm2_mean,post_conn_conv1_fm3_mean,post_conn_conv2_fm0_mean,post_conn_conv2_fm1_mean,postBN_conn_conv1_fm0_mean,postBN_conn_conv1_fm1_mean,postBN_conn_conv1_fm2_mean,postBN_conn_conv1_fm3_mean,postBN_conn_conv2_fm0_mean,postBN_conn_conv2_fm1_mean,peak_height,peak_lag,peak_halfMax_width,peak_to_noise,temporal_span,entropy,norm_entropy,norm_entropy_window,kl_divergence_window,Weight,test
0,1.0,1.0,0.9537807106971741,base_0_Pre_E3_Post,-366.13616943359375,-5.258860111236572,257.830322265625,-94.89261627197266,-2.1581506729125977,-2.3719046115875244,-0.9999993443489075,0.5603749752044678,1.0,-0.07522918283939362,-0.9993283748626709,-0.9994459748268127,-8.685449600219727,1.827615737915039,13.97668743133545,-0.21123212575912476,-4.059899806976318,-4.16648006439209,559.0,1,6,31.686317,10,6.6012697,0.991447889434807,0.9656838554162069,0.15072779874387968,1.873684210526316,base
1,1.0,1.0,0.9538015127182007,base_1_Pre_E11_Post,-359.8214111328125,-6.267348289489746,252.52780151367188,-92.80938720703125,-2.24218487739563,-2.450934648513794,-0.9999993443489075,0.5274574756622314,1.0,-0.06640317291021347,-0.999506413936615,-0.9995824694633484,-8.499342918395996,1.7786426544189453,13.696951866149902,-0.1313123255968094,-4.222317218780518,-4.303600311279297,509.0,1,7,32.22361,10,6.605016,0.9920105795148243,0.9695772013105526,0.13362677909774603,1.7473684210526317,base
2,1.0,1.0,0.9538317918777466,base_2_Pre_E14_Post,-356.8642272949219,-4.856588363647461,250.35650634765625,-91.10971069335938,-2.387903928756714,-2.6596333980560303,-0.9999991655349731,0.5306949615478516,1.0,-0.04136141017079353,-0.999737560749054,-0.9998093247413635,-8.412190437316895,1.8471505641937256,13.582404136657715,-0.06610710918903351,-4.503957271575928,-4.665701389312744,546.0,1,6,29.653273,12,6.6029463,0.9916996927084917,0.9673544018462934,0.14338969674144375,1.7473684210526317,base
3,1.0,1.0,0.953834593296051,base_2_Pre_E13_Post,-358.72015380859375,-6.156167984008789,252.30636596679688,-92.95601654052734,-2.429931640625,-2.684917449951172,-0.9999988079071045,0.5514395236968994,1.0,-0.03717473894357681,-0.9997725486755371,-0.9998160004615784,-8.466887474060059,1.7840417623519897,13.685269355773926,-0.13693758845329285,-4.5851874351501465,-4.709570407867432,567.0,1,5,35.06295,10,6.5911036,0.9899210277183796,0.9598898124268551,0.1761769207563881,1.936842105263158,base
4,1.0,1.0,0.9538615942001343,base_1_Pre_E10_Post,-334.6177978515625,3.644070863723755,234.76747131347656,-82.14102172851562,-3.6628825664520264,-4.300687789916992,-0.999999463558197,0.8235570788383484,1.0,0.19601932168006897,-0.999997615814209,-0.9999992251396179,-7.756556034088135,2.259951591491699,12.760000228881836,0.2779613733291626,-6.968184947967529,-7.512999057769775,277.0,1,18,10.821822,8,6.6453238,0.9980643856945297,0.9923617914526932,0.03354913134332688,0.8631578947368421,base
5,1.0,1.0,0.9538437128067017,base_2_Pre_E9_Post,-362.0574645996094,-1.6963573694229126,253.9645233154297,-91.04924774169922,-2.551889181137085,-2.797896146774292,-0.9999997019767761,0.5968644618988037,1.0,-0.02312474697828293,-0.9998498558998108,-0.9998769760131836,-8.565242767333984,2.000614881515503,13.772747039794922,-0.06378786265850067,-4.820901393890381,-4.905593395233154,492.0,1,7,22.37033,9,6.618094,0.993974730989249,0.9746819864831239,0.11120477746765231,1.5578947368421052,base
6,1.0,1.0,0.9538598656654358,base_2_Pre_E16_Post,-344.1654052734375,0.8955236077308655,240.92581176757812,-85.57054901123047,-3.181812286376953,-3.6146438121795654,-0.9999995827674866,0.7185531258583069,1.0,0.08556140959262848,-0.9999819397926331,-0.9999897480010986,-8.03793716430664,2.126479387283325,13.084884643554688,0.14639350771903992,-6.038391590118408,-6.322685241699219,344.0,1,9,16.46662,9,6.639069,0.9971249933336301,0.9876148254270913,0.05439994515802963,1.0526315789473686,base
7,1.0,1.0,0.9538061618804932,base_0_Pre_E19_Post,-359.241455078125,-3.881455421447754,253.52316284179688,-92.29243469238281,-2.257516860961914,-2.497492790222168,-0.9999995827674866,0.5860219597816467,1.0,-0.05919218063354492,-0.9995400905609131,-0.9996194243431091,-8.48225212097168,1.8945040702819824,13.749463081359863,-0.11148060858249664,-4.251949787139893,-4.384380340576172,471.0,1,7,24.798908,10,6.618529,0.9940400451489761,0.9766883140483973,0.10239251542443013,1.4947368421052634,base
8,1.0,1.0,0.9538609385490417,base_1_Pre_E14_Post,-338.5450744628906,0.8994526267051697,236.2154998779297,-83.51529693603516,-3.3263180255889893,-3.864845037460327,-0.9999995827674866,0.7952379584312439,1.0,0.14314764738082886,-0.9999920725822449,-0.9999961853027344,-7.8722991943359375,2.1266701221466064,12.83639144897461,0.22523967921733856,-6.317686557769775,-6.75679349899292,318.0,1,13,13.364195,9,6.6437206,0.9978236113469392,0.9909787162304875,0.03962437280216395,0.9263157894736842,base
9,1.0,1.0,0.9537970423698425,base_0_Pre_E14_Post,-363.6181945800781,-5.796905994415283,256.0986633300781,-94.45137786865234,-2.2239348888397217,-2.412277936935425,-0.9999992847442627,0.5435435175895691,1.0,-0.07337158173322678,-0.9994861483573914,-0.9995338916778564,-8.611241340637207,1.8014878034591675,13.885334014892578,-0.1943046897649765,-4.187044143676758,-4.2365288734436035,601.0,1,5,31.61421,11,6.592362,0.9901100234064496,0.9618768160212061,0.1674487259826908,2.0,base
