,index,precision,recall,f1-score,support,feature,importance,MeanAbsSHAP,MeanAbsSHAPProb,varanceSHAP,hitRate
0,0,1.0,1.0,1.0,4.0,dip_depth,0.6379579888515432,0.31825926508080854,0.6646995187500435,0.08313759408312411,0.2857142857142857
1,1,1.0,1.0,1.0,2.0,dip_to_noise,0.09762623671605608,0.05461319666887301,0.11406224272523273,0.0035596549866808423,0.2857142857142857
2,accuracy,1.0,1.0,1.0,1.0,norm_entropy,0.11857957865369625,0.05322272683839551,0.11115818075889791,0.0024659215268439502,0.2857142857142857
3,macro avg,1.0,1.0,1.0,6.0,kl_divergence_window,0.14583619577870452,0.052706519707559775,0.1100800577658258,0.0023241421995029645,0.2857142857142857
