,connLabel,predLabel,confi,sample,pre_conn_conv1_fm0_mean,pre_conn_conv1_fm1_mean,pre_conn_conv1_fm2_mean,pre_conn_conv1_fm3_mean,pre_conn_conv2_fm0_mean,pre_conn_conv2_fm1_mean,post_conn_conv1_fm0_mean,post_conn_conv1_fm1_mean,post_conn_conv1_fm2_mean,post_conn_conv1_fm3_mean,post_conn_conv2_fm0_mean,post_conn_conv2_fm1_mean,postBN_conn_conv1_fm0_mean,postBN_conn_conv1_fm1_mean,postBN_conn_conv1_fm2_mean,postBN_conn_conv1_fm3_mean,postBN_conn_conv2_fm0_mean,postBN_conn_conv2_fm1_mean,dip_depth,dip_lag,dip_halfMax_width,dip_to_noise,temporal_span,entropy,norm_entropy,norm_entropy_window,kl_divergence_window,Weight,test
0,1.0,1.0,0.9538595080375671,base_0_Pre_I6_Post,-393.0612487792969,15.606204986572266,272.1613464355469,-88.82704162597656,-3.0291264057159424,-3.4607791900634766,-1.0,0.9668099880218506,1.0,0.0315437838435173,-0.9999783635139465,-0.9999886155128479,-9.478971481323242,2.840846061706543,14.73272705078125,0.021463658660650253,-5.7432861328125,-6.055722713470459,107.0,3,7,9.091191,11,6.648754,0.9985795940992191,0.9922494301610932,0.03404256569202579,-1.223157894736842,base
1,1.0,1.0,0.9537832140922546,base_0_Pre_I4_Post,-401.5140075683594,11.237903594970703,277.2394714355469,-92.13809204101562,-2.1086266040802,-2.4191341400146484,-1.0,0.9737115502357483,1.0,-0.08607956022024155,-0.9992395043373108,-0.9995741844177246,-9.7280855178833,2.628716468811035,15.00062370300293,-0.10555925220251083,-3.9641811847686768,-4.248425006866455,142.0,4,7,4.005003,7,6.654011,0.999369093328201,0.9972434824665806,0.012107696858814196,-0.5599999999999999,base
2,1.0,1.0,0.9538601636886597,base_1_Pre_I6_Post,-393.0121154785156,15.655302047729492,270.9158935546875,-87.77139282226562,-3.1123673915863037,-3.5818703174591064,-1.0,0.9741453528404236,1.0,0.05227281153202057,-0.9999834895133972,-0.9999921321868896,-9.477521896362305,2.8432302474975586,14.667020797729492,0.061961829662323,-5.904172420501709,-6.26582145690918,133.0,2,9,4.3765635,9,6.651028,0.9989211327261254,0.9951632244282834,0.021244006463008933,-1.0463157894736843,base
3,1.0,1.0,0.9538163542747498,base_1_Pre_I7_Post,-396.4143981933594,14.57040786743164,276.0283508300781,-91.1284408569336,-2.2544357776641846,-2.5819079875946045,-1.0,0.9715625047683716,1.0,-0.04987595975399017,-0.9995641112327576,-0.9997491836547852,-9.577794075012207,2.7905468940734863,14.93673038482666,-0.0668255090713501,-4.245995044708252,-4.530844688415527,145.0,2,6,3.831305,6,6.653983,0.9993649395768149,0.9975686245615968,0.010679495150627659,-0.6484210526315789,base
4,1.0,1.0,0.9537632465362549,base_0_Pre_I13_Post,-398.8416442871094,12.987220764160156,277.2557373046875,-92.22409057617188,-2.059067964553833,-2.3435800075531006,-1.0,0.978835940361023,1.0,-0.08532951772212982,-0.9990821480751038,-0.9994298815727234,-9.649327278137207,2.713665246963501,15.001480102539062,-0.10885858535766602,-3.8683955669403076,-4.117335796356201,138.0,2,4,3.9363115,6,6.65352,0.9992954000492984,0.9973750591674686,0.011529855306132058,-0.6042105263157894,base
5,1.0,1.0,0.9538615942001343,base_0_Pre_I0_Post,-387.33160400390625,18.47743034362793,266.91461181640625,-84.99209594726562,-3.744858741760254,-4.316186428070068,-1.0,0.9585838317871094,1.0,0.14544016122817993,-0.9999985694885254,-0.9999993443489075,-9.310108184814453,2.9802756309509277,14.4559326171875,0.16858506202697754,-7.126626491546631,-7.539890766143799,90.0,2,6,7.66332,12,6.6472445,0.9983528565666577,0.9933628382834592,0.02915260179064599,-1.311578947368421,base
6,1.0,1.0,0.9538612961769104,base_1_Pre_I11_Post,-383.8710632324219,17.23740577697754,267.2845153808594,-86.64805603027344,-3.373075485229492,-3.8997802734375,-1.0,0.9725678563117981,1.0,0.08686470240354538,-0.9999943375587463,-0.9999975562095642,-9.208122253417969,2.9200587272644043,14.475446701049805,0.10505654662847519,-6.408058166503906,-6.817408084869385,98.0,2,6,9.629665,12,6.648303,0.9985118449817829,0.9931135807708859,0.030247298235676963,-1.3557894736842104,base
7,1.0,1.0,0.9538590908050537,base_1_Pre_I10_Post,-392.2138977050781,14.541522979736328,271.4493408203125,-87.94876861572266,-2.972076177597046,-3.4394636154174805,-1.0,0.9665761590003967,1.0,0.04941747337579727,-0.999971866607666,-0.9999873638153076,-9.453998565673828,2.7891438007354736,14.69516372680664,0.05515717715024948,-5.633021831512451,-6.018740177154541,117.0,2,6,7.5256987,8,6.6520824,0.9990794765936217,0.9960176044909803,0.017491542532508047,-1.0021052631578946,base
8,1.0,0.0,0.048774562776088715,BP8_Pre_I0_Post,-621.646240234375,25.96053695678711,432.9459228515625,-141.0227508544922,2.959216356277466,3.6480672359466553,-1.0,0.9179871082305908,1.0,-0.8364987969398499,0.9999816417694092,0.9999926090240479,-16.215707778930664,3.3436639308929443,23.2149658203125,-1.980937123298645,5.830746173858643,6.2784247398376465,161.0,1,7,9.434861,12,6.6497374,0.9987272671226372,0.9944900337333934,0.024201347572064956,-1.3557894736842104,BP
9,1.0,0.0,0.04877332225441933,BP8_Pre_I1_Post,-620.8526611328125,24.31932258605957,431.1139831542969,-140.8219451904297,3.248109817504883,3.991227388381958,-1.0,0.9573294520378113,1.0,-0.8812597990036011,0.9999940991401672,0.9999977946281433,-16.192317962646484,3.2639644145965576,23.118324279785156,-1.973233699798584,6.389108180999756,6.8738226890563965,209.0,1,8,7.365465,12,6.6526375,0.9991628380869576,0.9968606941437,0.013788678129793105,-1.0021052631578946,BP
