,index,precision,recall,f1-score,support,feature,importance,MeanAbsSHAP,MeanAbsSHAPProb,varanceSHAP,hitRate
0,0,1.0,1.0,1.0,4.0,peak_height,0.4415322131449148,0.21951158401784174,0.47676598919106744,0.05666136589461187,0.3333333333333333
1,1,1.0,1.0,1.0,2.0,peak_to_noise,0.1197761258038889,0.03434064878233314,0.07458582862233523,0.001865702949025858,0.3333333333333333
2,accuracy,1.0,1.0,1.0,1.0,norm_entropy,0.20729072127527268,0.0802827714524419,0.17436936240874104,0.009303332967522919,0.3333333333333333
3,macro avg,1.0,1.0,1.0,6.0,kl_divergence_window,0.23140093977592355,0.12628287159102036,0.2742788197778563,0.018365805804925382,0.3333333333333333
