,pred,confi,label,weights,sInfo
0,0.0,0.0488724485039711,1.0,0.9894737005233765,BP8_Pre_E0_Post
1,0.0,0.08312296122312546,1.0,2.0,BP8_Pre_E1_Post
2,0.0,0.05967182666063309,1.0,1.9368420839309692,BP8_Pre_E2_Post
3,0.0,0.048908837139606476,1.0,1.1789473295211792,BP8_Pre_E3_Post
4,0.0,0.054780539125204086,1.0,1.3052631616592407,BP8_Pre_E4_Post
5,0.0,0.054619669914245605,1.0,1.621052622795105,BP8_Pre_E5_Post
6,0.0,0.09172067046165466,1.0,1.8105263710021973,BP8_Pre_E6_Post
7,0.0,0.048897724598646164,1.0,1.115789532661438,BP8_Pre_E7_Post
8,0.0,0.04881748557090759,1.0,0.800000011920929,BP8_Pre_E8_Post
9,0.0,0.048811156302690506,1.0,0.8631578683853149,BP8_Pre_E9_Post
10,0.0,0.050536978989839554,1.0,1.24210524559021,BP8_Pre_E10_Post
11,0.0,0.04932945966720581,1.0,1.0526316165924072,BP8_Pre_E11_Post
12,0.0,0.05318339169025421,1.0,1.5578947067260742,BP8_Pre_E12_Post
13,0.0,0.06769610941410065,1.0,1.7473684549331665,BP8_Pre_E13_Post
14,0.0,0.04931437224149704,1.0,0.9263157844543457,BP8_Pre_E14_Post
15,0.0,0.08522357046604156,1.0,1.8736841678619385,BP8_Pre_E15_Post
16,0.0,0.051440924406051636,1.0,1.3684210777282715,BP8_Pre_E16_Post
17,0.0,0.05096648633480072,1.0,1.4947367906570435,BP8_Pre_E17_Post
18,0.0,0.05843393877148628,1.0,1.4315789937973022,BP8_Pre_E18_Post
19,0.0,0.05657559260725975,1.0,1.6842105388641357,BP8_Pre_E19_Post
20,0.0,0.048774562776088715,1.0,-1.3557894229888916,BP8_Pre_I0_Post
21,0.0,0.04877332225441933,1.0,-1.0021052360534668,BP8_Pre_I1_Post
22,0.0,0.048772890120744705,1.0,-0.648421049118042,BP8_Pre_I2_Post
23,0.0,0.04877353087067604,1.0,-1.1347368955612183,BP8_Pre_I3_Post
24,0.0,0.0487736314535141,1.0,-1.2673684358596802,BP8_Pre_I4_Post
25,0.0,0.04877305403351784,1.0,-0.8694736957550049,BP8_Pre_I5_Post
26,0.0,0.04877282306551933,1.0,-0.5600000023841858,BP8_Pre_I6_Post
27,0.0,0.048772867769002914,1.0,-1.0463157892227173,BP8_Pre_I7_Post
28,0.0,0.04877282306551933,1.0,-0.6926316022872925,BP8_Pre_I8_Post
29,0.0,0.0487736314535141,1.0,-1.3115789890289307,BP8_Pre_I9_Post
30,0.0,0.04877283796668053,1.0,-0.7368420958518982,BP8_Pre_I10_Post
31,0.0,0.04877295345067978,1.0,-1.0905263423919678,BP8_Pre_I11_Post
32,0.0,0.04877295345067978,1.0,-0.9136841893196106,BP8_Pre_I12_Post
33,0.0,0.048773035407066345,1.0,-1.1789473295211792,BP8_Pre_I13_Post
34,0.0,0.04877519980072975,1.0,-1.399999976158142,BP8_Pre_I14_Post
35,0.0,0.04877288267016411,1.0,-0.9578947424888611,BP8_Pre_I15_Post
36,0.0,0.048773299902677536,1.0,-1.2231578826904297,BP8_Pre_I16_Post
37,0.0,0.04877286031842232,1.0,-0.6042105555534363,BP8_Pre_I17_Post
38,0.0,0.04877288267016411,1.0,-0.8252631425857544,BP8_Pre_I18_Post
39,0.0,0.048772867769002914,1.0,-0.7810526490211487,BP8_Pre_I19_Post
40,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E0_Pre_E5
41,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E1_Pre_E8
42,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E2_Pre_I17
43,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E3_Pre_I3
44,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E4_Pre_E9
45,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E5_Pre_I18
46,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E6_Pre_E16
47,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E7_Pre_I15
48,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E8_Pre_I8
49,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E9_Pre_I11
50,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E10_Pre_E15
51,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E11_Pre_E5
52,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E12_Pre_I10
53,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E13_Pre_I16
54,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E14_Pre_E15
55,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E15_Pre_I13
56,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E16_Pre_E9
57,0.0,0.04877278208732605,0.0,0.0,BP8_Pre_E17_Pre_E0
58,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E18_Pre_I5
59,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_E19_Pre_E2
60,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I0_Pre_E7
61,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I1_Pre_I16
62,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I2_Pre_I9
63,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I3_Pre_E1
64,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I4_Pre_E13
65,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I5_Pre_E5
66,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I6_Pre_I13
67,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I7_Pre_I11
68,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I8_Pre_E6
69,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I9_Pre_I19
70,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I10_Pre_E2
71,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I11_Pre_I9
72,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I12_Pre_E3
73,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I13_Pre_I3
74,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I14_Pre_E11
75,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I15_Pre_I9
76,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I16_Pre_E16
77,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I17_Pre_I8
78,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I18_Pre_E3
79,0.0,0.048772767186164856,0.0,0.0,BP8_Pre_I19_Pre_I12
