,pred,confi,label,weights,sInfo
0,0.0,0.010725883767008781,1.0,101.0,Unnamed: 0
1,1.0,0.9891670942306519,1.0,0.34354379773139954,SE1_SE12
2,0.0,0.04915609955787659,1.0,0.2685147821903229,SE1_SE23
3,1.0,0.9891670942306519,1.0,0.4733922481536865,SE1_SE42
4,1.0,0.9891670942306519,1.0,0.42771807312965393,SE1_SE49
5,1.0,0.9891665577888489,1.0,0.3226727545261383,SE1_SE55
6,0.0,0.010725125670433044,0.0,0.0,SE1_SE2
7,0.0,0.010725641623139381,0.0,0.0,SE1_SE21
8,0.0,0.010725094936788082,0.0,0.0,SE1_SE52
9,0.0,0.012003736570477486,0.0,0.0,SE1_SE43
10,0.0,0.012278386391699314,0.0,0.0,SE1_SE48
11,0.0,0.011248505674302578,0.0,0.0,SE1_SE35
12,0.0,0.010835275985300541,1.0,0.34628504514694214,SE2_SE9
13,1.0,0.9891670942306519,1.0,0.4788416624069214,SE2_SE12
14,1.0,0.9891670942306519,1.0,0.4977310299873352,SE2_SE20
15,0.0,0.29933106899261475,1.0,0.3668065071105957,SE2_SE50
16,1.0,0.5434618592262268,1.0,0.3538810908794403,SE2_SE56
17,1.0,0.9143730401992798,1.0,0.3689320385456085,SE2_SE59
18,0.0,0.015204734168946743,0.0,0.0,SE2_SE19
19,1.0,0.9891613125801086,0.0,0.0,SE2_SE47
20,0.0,0.010725131258368492,0.0,0.0,SE2_SE57
21,0.0,0.010878299362957478,0.0,0.0,SE2_SE40
22,0.0,0.011773419566452503,0.0,0.0,SE2_SE27
23,0.0,0.010739270597696304,0.0,0.0,SE2_SE21
24,1.0,0.9891114830970764,1.0,0.2653144598007202,SE3_SE5
25,1.0,0.9891670942306519,1.0,0.371629923582077,SE3_SE11
26,1.0,0.9890167713165283,1.0,0.3001551032066345,SE3_SE17
27,1.0,0.9891554713249207,1.0,0.3092643916606903,SE3_SE23
28,1.0,0.9891670942306519,1.0,0.47590306401252747,SE3_SE25
29,1.0,0.9891670942306519,1.0,0.4371202290058136,SE3_SE37
30,0.0,0.010725099593400955,0.0,0.0,SE3_SE57
31,0.0,0.022457167506217957,0.0,0.0,SE3_SE4
32,1.0,0.5006771683692932,0.0,0.0,SE3_SE36
33,0.0,0.01094314269721508,0.0,0.0,SE3_SE46
34,0.0,0.010725094936788082,0.0,0.0,SE3_SE21
35,0.0,0.028780968859791756,0.0,0.0,SE3_SE13
36,1.0,0.8028008937835693,0.0,0.0,SE3_SE40
37,0.0,0.04663985222578049,0.0,0.0,SE3_SE56
38,0.0,0.13972389698028564,0.0,0.0,SE3_SE49
39,0.0,0.010725565254688263,0.0,0.0,SE3_SE22
40,1.0,0.9891608357429504,1.0,0.494626522064209,SE4_SE2
41,1.0,0.9878761768341064,1.0,0.419416606426239,SE4_SE3
42,1.0,0.9382979869842529,1.0,0.4670572876930237,SE4_SE11
43,1.0,0.9665129780769348,1.0,0.31107020378112793,SE4_SE36
44,1.0,0.9891670942306519,1.0,0.49124273657798767,SE4_SE47
45,0.0,0.21414338052272797,0.0,0.0,SE4_SE16
46,0.0,0.01225057803094387,0.0,0.0,SE4_SE34
47,1.0,0.9503276944160461,0.0,0.0,SE4_SE17
48,0.0,0.030465291813015938,0.0,0.0,SE4_SE54
49,1.0,0.8115930557250977,0.0,0.0,SE4_SE20
50,0.0,0.010729452595114708,0.0,0.0,SE4_SE50
51,0.0,0.010725964792072773,0.0,0.0,SE4_SE1
52,0.0,0.49928244948387146,0.0,0.0,SE4_SE4
53,0.0,0.010810201056301594,0.0,0.0,SE4_SE14
54,0.0,0.010725540108978748,0.0,0.0,SE4_SE10
55,1.0,0.9891670942306519,1.0,0.324260413646698,SE5_SE11
56,1.0,0.9891670942306519,1.0,0.32500362396240234,SE5_SE16
57,1.0,0.9891670942306519,1.0,0.2765524983406067,SE5_SE28
58,1.0,0.9891670942306519,1.0,0.32361727952957153,SE5_SE49
59,1.0,0.9891670942306519,1.0,0.44474470615386963,SE5_SE51
60,0.0,0.010881224647164345,0.0,0.0,SE5_SE14
61,0.0,0.010725448839366436,0.0,0.0,SE5_SE23
62,0.0,0.01074549276381731,0.0,0.0,SE5_SE35
63,0.0,0.010725094936788082,0.0,0.0,SE5_SE10
64,0.0,0.010725094936788082,0.0,0.0,SE5_SE40
65,0.0,0.010725094936788082,0.0,0.0,SE5_SE41
66,0.0,0.01072516106069088,0.0,0.0,SE5_SE6
67,1.0,0.989143431186676,1.0,0.26571184396743774,SE6_SE5
68,1.0,0.9891603589057922,1.0,0.4469268023967743,SE6_SE12
69,1.0,0.972588837146759,1.0,0.3270045816898346,SE6_SE42
70,1.0,0.9891431927680969,1.0,0.44666776061058044,SE6_SE59
71,0.0,0.010725094936788082,0.0,0.0,SE6_SE16
72,0.0,0.010725094936788082,0.0,0.0,SE6_SE23
73,0.0,0.4988206624984741,0.0,0.0,SE6_SE6
74,0.0,0.01072633545845747,0.0,0.0,SE6_SE26
75,0.0,0.010856347158551216,0.0,0.0,SE6_SE38
76,0.0,0.010727204382419586,0.0,0.0,SE6_SE32
77,1.0,0.9891670942306519,1.0,0.4662352502346039,SE9_SE33
78,1.0,0.9891670942306519,1.0,0.4018745422363281,SE9_SE38
79,1.0,0.9891670942306519,1.0,0.4435235261917114,SE9_SE47
80,1.0,0.9891670942306519,1.0,0.32554662227630615,SE9_SE49
81,1.0,0.9891670942306519,1.0,0.49753355979919434,SE9_SE54
82,0.0,0.010952988639473915,0.0,0.0,SE9_SE59
83,0.0,0.010725099593400955,0.0,0.0,SE9_SE35
84,0.0,0.010725094936788082,0.0,0.0,SE9_SE37
85,0.0,0.011941509321331978,0.0,0.0,SE9_SE57
86,0.0,0.010850469581782818,0.0,0.0,SE9_SE51
87,0.0,0.013523278757929802,0.0,0.0,SE9_SE56
88,0.0,0.06817863881587982,0.0,0.0,SE9_SE55
89,0.0,0.013574077747762203,1.0,0.26695579290390015,SE10_SE1
90,1.0,0.9891665577888489,1.0,0.26550108194351196,SE10_SE12
91,1.0,0.9891670942306519,1.0,0.4530234932899475,SE10_SE17
92,1.0,0.987500011920929,1.0,0.42369404435157776,SE10_SE23
93,1.0,0.9688727855682373,1.0,0.2727573812007904,SE10_SE26
